trackName,country,collectionPrice,trackPrice,collectionHdPrice,releaseDate,trackExplicitness,genres,contentAdvisoryRating,trackCount,isStreamable
Love Me Do (2023 Mix),USA,,,,2023-11-02,notExplicit,,,24,True
"Some Other Guy (Live At The BBC For ""Easy Beat"" / 23rd June, 1963)",USA,,,,1994-11-30,notExplicit,,,24,True
I'll Get You (Remastered 2009),USA,,,,1963-08-23,notExplicit,,,24,True
Long Tall Sally (Remastered 2009),USA,,,,1964-06-19,notExplicit,,,24,True
Twist And Shout (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
Please Mister Postman (Remastered 2009),USA,,,,1963-11-22,notExplicit,,,24,True
I Want To Hold Your Hand (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
I Saw Her Standing There (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
A Hard Day's Night (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
Can't Buy Me Love (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
I'll Be Back (Remastered 2009),USA,,,,1964-07-10,notExplicit,,,24,True
You Can't Do That (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
Money (That's What I Want) [Remastered 2009],USA,,,,1963-11-22,notExplicit,,,24,True
Please Please Me (Remastered 2009),USA,,,,1963-01-11,notExplicit,,,24,True
From Me To You (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
I Wanna Be Your Man (Remastered 2009),USA,,,,1963-11-22,notExplicit,,,24,True
This Boy (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
One After 909 (2021 Mix),USA,,,,1970-05-08,notExplicit,,,24,True
All My Loving (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
She Loves You (2023 Mix),USA,,,,2023-11-10,notExplicit,,,24,True
Any Time At All (Remastered 2009),USA,,,,1964-07-10,notExplicit,,,24,True
Yesterday,USA,12.99,1.29,,1965-08-06,notExplicit,,,14,True
Here Comes the Sun,USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
In My Life,USA,12.99,1.29,,1965-12-03,notExplicit,,,14,True
Here Comes The Sun (Take 9),USA,24.99,1.29,,1969-09-26,notExplicit,,,36,True
Hey Jude,USA,19.99,1.29,,1968-08-26,notExplicit,,,14,True
Let It Be,USA,12.99,1.29,,1970-03-06,notExplicit,,,12,True
Come Together,USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
Blackbird,USA,19.99,1.29,,1968-11-22,notExplicit,,,17,True
Twist and Shout,USA,12.99,1.29,,1963-03-22,notExplicit,,,14,True
While My Guitar Gently Weeps,USA,19.99,1.29,,1968-11-22,notExplicit,,,17,True
"Ob-La-Di, Ob-La-Da",USA,19.99,1.29,,1968-11-22,notExplicit,,,17,True
I Want to Hold Your Hand,USA,19.99,1.29,,1963-11-29,notExplicit,,,18,True
Eleanor Rigby,USA,12.99,1.29,,1966-08-05,notExplicit,,,14,True
Don't Let Me Down,USA,19.99,1.29,,1969-04-11,notExplicit,,,14,True
Strawberry Fields Forever,USA,12.99,1.29,,1967-02-13,notExplicit,,,11,True
Help!,USA,12.99,1.29,,1965-07-19,notExplicit,,,14,True
And I Love Her,USA,12.99,1.29,,1964-07-10,notExplicit,,,13,True
Something,USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
I Saw Her Standing There,USA,12.99,1.29,,1963-03-22,notExplicit,,,14,True
All My Loving,USA,12.99,1.29,,1963-11-22,notExplicit,,,14,True
A Hard Day's Night,USA,12.99,1.29,,1964-07-10,notExplicit,,,13,True
Lucy In the Sky with Diamonds,USA,12.99,1.29,,1967-06-01,notExplicit,,,13,True
Yellow Submarine,USA,12.99,1.29,,1966-08-05,notExplicit,,,13,True
Can't Buy Me Love,USA,12.99,1.29,,1964-03-16,notExplicit,,,13,True
Ticket to Ride,USA,12.99,1.29,,1965-04-09,notExplicit,,,14,True
"Hello, Goodbye",USA,12.99,1.29,,1967-11-24,notExplicit,,,11,True
Penny Lane,USA,12.99,1.29,,1967-02-13,notExplicit,,,11,True
Norwegian Wood (This Bird Has Flown),USA,12.99,1.29,,1965-12-03,notExplicit,,,14,True
Michelle,USA,12.99,1.29,,1965-12-03,notExplicit,,,14,True
Eight Days a Week,USA,12.99,1.29,,1964-12-04,notExplicit,,,14,True
Let It Be (2021 Mix),USA,12.99,1.29,,1970-05-08,notExplicit,,,12,True
Nowhere Man,USA,12.99,1.29,,1965-12-03,notExplicit,,,14,True
I Am the Walrus,USA,12.99,1.29,,1967-11-24,notExplicit,,,11,True
Come Together (2019 Mix),USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
Across the Universe,USA,12.99,1.29,,1969-12-12,notExplicit,,,12,True
The Beatles (George Harrison),USA,8.99,0.99,,2002-09-03,notExplicit,,,13,True
Get Back,USA,12.99,1.29,,1969-04-11,notExplicit,,,12,True
Drive My Car,USA,12.99,1.29,,1965-12-03,notExplicit,,,14,True
In My Life (Take 1),USA,24.99,1.29,,2010-11-16,notExplicit,,,36,True
Here Comes the Sun (2019 Mix),USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
"The Beatles (When Ringo Shook His Mop) [feat. Hamilton Leithauser, Nick Stumpf, Josh Wise & Matt Iwanusa]",USA,9.99,1.29,,2014-05-13,notExplicit,,,10,True
Here Comes the Sun (2019 Mix),USA,29.99,1.29,,1969-09-26,notExplicit,,,17,True
A Day In the Life,USA,12.99,1.29,,1967-06-01,notExplicit,,,13,True
With a Little Help From My Friends,USA,12.99,1.29,,1967-06-01,notExplicit,,,13,True
Something (2019 Mix),USA,12.99,1.29,,1969-09-26,notExplicit,,,17,True
I Want to Hold Your Hand,USA,119.99,1.29,,1963-11-29,notExplicit,,,24,True
